file1;file2;kofola_no_preproc_cnt-runtime;kofola_no_preproc_cnt-retcode;kofola_no_preproc_cnt-states_cnt;kofola_no_preproc-runtime;kofola_no_preproc-retcode;kofola_no_preproc-states_cnt;autfilt_cnt-runtime;autfilt_cnt-retcode;autfilt_cnt-states_cnt;autfilt-runtime;autfilt-retcode;autfilt-states_cnt
automata/termination/4BitCounterPointer_true-termination_true-valid-memsafety.c_Iteration3_A.ba.hoa;automata/termination/4BitCounterPointer_true-termination_true-valid-memsafety.c_Iteration3_B.ba.hoa;0.01;1;21;0.01;1;;0.02;1;32;0.01;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration2_B.ba.hoa;0.0;1;16;0.0;1;;0.01;1;25;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration3_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination_true-no-overflow.c_Iteration3_B.ba.hoa;0.0;1;10;0.0;1;;0.0;1;26;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c_Iteration2_B.ba.hoa;0.0;1;7;0.0;1;;0.01;1;9;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c_Iteration3_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c_Iteration3_B.ba.hoa;0.0;1;10;0.0;1;;0.0;1;10;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration2_B.ba.hoa;0.0;1;9;0.0;1;;0.01;1;10;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration3_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration3_B.ba.hoa;0.0;1;14;0.0;1;;0.01;1;24;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration4_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c_Iteration4_B.ba.hoa;0.0;1;64;0.0;1;;0.04;1;40;0.03;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration2_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration2_B.ba.hoa;0.0;1;13;0.0;1;;0.01;1;17;0.0;1;
automata/termination/AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration3_A.ba.hoa;automata/termination/AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c_Iteration3_B.ba.hoa;0.0;1;17;0.0;1;;0.0;1;35;0.0;1;
